Timestamp,Battery (Battery - Volt)	,LM61 (System temperature - C)	,Solar panel (Solar radiation level - Levels)	,WindMeter (Wind speed - Beaufort)	,RainMeter (Rain - mm)	,WindDirection-v2 (Wind direction)	,SLHT5-Air (Air temperature - C)	,SLHT5-Air (Air humidity - %)	,EC5 (Soil moisture - %),
2016-03-01 00:38:00,4.06,-4.9,1,0,0,1,-3.9,95.3,58.7,
2016-03-01 01:39:20,4.06,-4.2,1,0,0,1,-3.3,95.8,58.7,
2016-03-01 02:40:39,4.05,-4.9,1,0,0,15,-3.4,95.5,58.7,
2016-03-01 03:41:59,4.02,-4.9,1,0,0,15,-3.4,95.5,58.1,
2016-03-01 04:43:18,4.06,-5.6,1,0,0,15,-4.2,93.8,58.1,
2016-03-01 05:44:38,4.06,-5.1,1,0,0,15,-4,95.1,57.5,
2016-03-01 06:45:57,4.02,-3.2,2,1,0,9,-2.1,95.9,57.5,
2016-03-01 07:47:17,4.06,-2,3,0,0,15,-1.1,93,58.1,
2016-03-01 08:48:37,4.07,-0.8,3,0,0,3,0.1,90.4,58.1,
2016-03-01 09:49:57,4.09,0.7,3,1,0,5,1.2,80.7,58.1,
2016-03-01 10:51:17,4.1,1.4,3,2,0,7,1.7,76.3,58.1,
2016-03-01 11:52:36,4.1,1.9,3,1,0,5,2.1,74.6,58.1,
2016-03-01 12:53:58,4.09,2.2,3,2,0,5,2.3,72.8,58.1,
2016-03-01 13:55:20,4.09,1.9,3,2,0,11,2.3,72,58.1,
2016-03-01 14:57:41,4.11,1.9,3,1,0,9,2.2,71.2,57.5,
2016-03-01 15:59:01,4.11,1.4,3,2,0,9,2,72.7,57.5,
2016-03-04 14:14:26,4.12,4.6,3,2,0,7,4,82.6,61,
2016-03-04 15:15:48,4.09,2.7,3,1,0,7,3,87.1,61.5,
2016-03-04 16:17:08,4.12,2.2,3,1,0,9,2.7,86.8,61.5,
2016-03-04 17:18:28,4.09,2.2,3,2,0,5,2.6,87.3,61,
2016-03-04 18:20:41,4.11,1.9,1,1,0,3,2.4,87.4,61.5,
2016-03-04 19:22:03,4.1,1.2,1,1,0,1,1.7,89,61.5,
2016-03-04 20:23:22,4.1,1.2,1,1,0,11,1.8,89.2,61.5,
2016-03-04 21:24:42,4.11,1,1,1,0,13,1.7,89.5,61,
2016-03-04 22:26:02,4.09,1,1,0,0,13,1.6,90.1,61,
2016-03-04 23:27:22,4.09,1,1,1,0,13,1.6,90.9,61.5,
2016-03-05 00:28:41,4.07,1,1,1,0,11,1.6,90.8,61,
2016-03-05 01:30:09,4.1,1.2,1,1,0,13,1.7,91.1,61,
2016-03-05 02:31:28,4.07,1.2,1,1,0,15,1.7,91.1,61.5,
2016-03-05 03:32:48,4.09,1,1,1,0,11,1.5,90.2,61,
2016-03-05 04:34:11,4.09,0.7,1,1,0,13,1.5,91.3,61,
2016-03-05 05:35:31,4.07,1.2,1,1,0,9,1.9,91.9,61.5,
2016-03-05 06:36:50,4.08,1.9,1,1,0,15,2.4,91.6,61,
2016-03-05 07:38:09,4.07,1.9,3,1,0,3,2.5,92.5,61,
2016-03-05 08:39:29,4.08,2.4,3,1,0,15,2.9,92.4,61,
2016-03-05 09:40:48,4.09,3.1,3,1,0,15,3.7,90.2,61,
