Day_num;high_temperature;low_temperature;precipitation(mm);high_temperature(avg);low_temperature(avg)
1;17;14;3;18;10
2;17;12;3;18;10
3;18;10;1;18;10
4;15;9;7;18;10
5;17;9;2;17;10
6;17;7;0;17;10
7;19;4;0;17;9
8;19;6;0;17;9
9;20;5;0;17;9
10;18;6;0;17;9
11;19;9;0;17;9
12;19;13;4;16;9
13;17;15;11;16;9
14;19;15;18;16;9
15;17;9;3;16;9
16;17;9;5;16;9
17;18;13;3;16;9
18;17;9;3;16;9
19;17;9;6;15;9
20;18;8;1;15;8
21;13;7;7;15;8
22;15;9;0;15;8
23;18;9;0;15;8
24;17;9;7;15;8
25;16;8;1;15;8
26;16;8;0;14;8
27;17;5;0;14;8
28;17;5;0;14;8
29;19;3;0;14;8
30;17;5;0;14;8
