"t";"MW";"MP";"SP";"Tem";"Pre";"iMW";"iMP";"iSP";"iTem";"iPre";"operation";"dayLeft";"optAction";"weight";"scenario"
1;30;1;0,0996453973145488;15,33;0;6;3;2;2;0;1;6;"do.";32,5652;2
2;29,8616056908855;1,07104504152516;0,100605493558563;13,68;0;6;4;3;1;0;1;5;"do.";30,8219;2
3;26,5365540348513;1,07797366888318;0,100470426301623;14,19;6,1;5;4;3;2;4;1;4;"do.";29,0554;2
4;29,9900407090337;0,973905685264719;0,0913135512430705;13,9;0;6;2;3;2;0;1;3;"do.";27,4372;2
5;28,4827039981671;0,970288424327856;0,100040326241282;13,51;0;5;2;3;1;0;1;2;"do.";25,7049;2
6;26,4243593049598;1,01678762883739;0,104127884308567;14,36;2,1;5;3;3;2;2;1;1;"do.";23,9828;2
7;27,5356205361929;0,99733504817419;0,1034675191613;15,63;0;5;3;3;2;0;2;4;"do.";22,2722;2
8;25,444612615606;1,02273658574681;0,107675397069753;13,72;0;5;3;3;1;0;2;3;"do.";20,5517;2
9;24,6238892543909;0,99923150529656;0,114108055762944;14,68;0;5;3;3;2;0;2;2;"do.";18,8243;2
10;23,5777467129459;1,0253539621774;0,117638260443859;13,6;4;4;3;3;1;3;2;1;"pos.";16,6506;2
11;25,13691323805;1,0228272699851;0,10586164297935;12,87;11,3;5;3;3;1;5;2;1;"do.";16,8903;2
12;34,2521868015291;0,96895587544994;0,0818157017820188;13,28;3,7;6;2;3;1;3;3;4;"do.";15,2052;2
13;34,2301288929056;0,978400072453878;0,0825210187750505;14,12;0;6;3;3;2;0;3;3;"do.";13,5084;2
14;29,8058263930048;0,989984907963888;0,0913733546168314;14,48;0;6;3;3;2;0;3;2;"do.";11,7819;2
15;28,129526345906;0,97020474500523;0,100683412923723;14,44;3,5;5;2;3;2;3;3;1;"do.";10,0401;2
16;29,6272470167269;1,01227070367788;0,0946435722729388;13,07;2;6;3;3;1;2;4;4;"do.";8,32675;2
17;30,6949843547569;0,999547475681876;0,0948538389308486;15,55;0;6;3;3;2;0;4;3;"do.";6,60699;2
18;26,168844817496;1,0327918315484;0,0988868863765562;11,84;0;5;3;3;1;0;4;2;"do.";4,83802;2
19;25,1997499457245;0,942143646734447;0,110758704293216;13,37;0;5;2;3;1;0;4;1;"do.";3;2
20;24,2181792237955;1,00714408741983;0,114965103503832;14,37;1,9;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
21;23,7099403821731;1,01952011658744;0,111480971312495;16,02;0;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
22;24,4981471802866;0,97228438688975;0,121572910232507;14,11;3;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
23;25,7788733170773;1,08072392625709;0,106638269642658;13;5,2;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
24;28,2415508203225;1,00471235710044;0,0954365971065392;15,06;0;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
25;25,8542829720992;0,964660506773237;0,105205199077842;14,46;2,8;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
26;27,8479177335275;0,982256473284505;0,102891644355533;15,39;2,1;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
27;28,8250143287168;1,02461351474006;0,0997555866127819;14,83;2,7;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
28;28,4138049678158;1,0298832568089;0,0953186943652953;15,61;0;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
29;25,6195621305097;0,972967682945017;0,104877925762971;12,28;0;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
30;25,1582395889167;0,972946274917946;0,112944475484085;15,97;0;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;2
